fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
45;0,0279;0,0279;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;0,0000;0,6000;1,0000;0,0000;0,0000;0,7000;0,0000;0,0000;0,0000;0,6050;0,0000;0,2140
46;0,1230;0,1230;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;0,0000;0,5000;0,9000;0,4000;0,1000;0,9000;0,0000;0,0000;0,0000;0,5860;0,0000;0,2440
47;0,3254;0,3254;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;2,1701;0,3000;0,3000;0,5000;0,6000;0,2000;0,0000;0,0000;0,0310;0,5730;0,0000;0,3080
48;0,4681;0,4681;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,8940;5,2889;0,1000;0,0000;0,0000;0,3000;0,1000;0,0000;2,0000;0,0870;0,5720;2,0000;0,3400
49;0,0198;0,0198;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;1,0000;7,9840;0,3000;0,0000;0,0000;0,0000;0,2000;0,0000;2,0000;0,1680;0,5720;2,0000;0,3570
50;0,1372;0,1372;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,6150;1,4255;0,1000;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;0,0000;0,5160;0,0000;0,2790
51;0,1211;0,1211;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;0,9660;2,6894;0,3000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,0000;0,6750;0,0000;0,2930
52;0,0000;0,0000;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,7000;0,0000;0,0000;0,0000;0,6810;0,0000;0,2510
53;0,1210;0,1210;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;2,1611;0,3000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,6240;0,0000;0,2470
54;0,4203;0,4203;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,9670;7,8870;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1110;0,5730;0,0000;0,3020
55;0,1542;0,1542;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,4750;2,6018;0,5000;0,4000;0,3000;0,2000;0,3000;0,0000;0,0000;0,0480;0,5720;0,0000;0,3500
56;0,0440;0,0440;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,2310;2,3925;0,5000;0,4000;0,7000;0,6000;0,4000;0,0000;1,0000;0,1920;0,5720;1,0000;0,3920
57;0,0833;0,0833;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,1810;1,5548;0,3000;0,0000;0,3000;0,3000;0,6000;0,0000;2,0000;0,0160;0,5720;2,0000;0,3150
58;0,0516;0,0516;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;3,6754;0,3000;0,0000;0,0000;0,1000;0,3000;0,0000;2,0000;0,0000;0,5720;2,0000;0,2890
59;0,2597;0,2597;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;1,0000;0,2242;0,4000;0,0000;0,0000;0,0000;1,0000;0,0000;3,0000;0,0000;0,5720;3,0000;0,2970
60;0,1829;0,1829;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,1960;0,4140;0,3000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,5160;0,0000;0,2420
61;0,5675;0,5675;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;5,9964;0,1000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,1350;0,5160;0,0000;0,3500
62;0,4968;0,4968;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;7,8121;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0640;0,5160;0,0000;0,3310
63;0,2157;0,2157;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;8,6800;0,1000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,0400;0,6500;0,0000;0,3500
64;0,3346;0,3346;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;14,9899;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2770;0,7080;0,0000;0,4320
65;0,4039;0,4039;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;8,8700;0,1000;0,0000;0,0000;0,0000;0,1000;0,0000;2,0000;0,1260;0,7080;2,0000;0,3710
